                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.0533,                 2.9088,                 1.3096,                0.96073,                0.30812,                0.13416,                0.12329,                0.05389,                0.19026,                0.10948,                0.07778,                0.02306,                 2.7083,                  3.502,                 2.1719,                 1.1167,              0.0098357,              0.0098357,              0.0098357
                     86,                 2.0835,                  2.975,                 1.3087,                0.95172,                0.28675,                0.14495,                0.12678,                0.05151,                0.18738,                0.11025,                 0.0713,                 0.0244,                 2.8156,                 3.5824,                 2.1851,                 1.1242,              0.0098337,              0.0098337,              0.0098337
                     87,                 2.0748,                 2.8999,                 1.3215,                 0.9586,                0.27359,                0.13416,                0.11442,                0.04385,                 0.1573,                0.09406,                0.06376,                0.02129,                 2.9097,                 3.5515,                 2.1582,                 1.1302,              0.0098317,              0.0098317,              0.0098317
                     88,                 2.0622,                 2.8878,                 1.2946,                0.96716,                0.23945,                0.15343,                 0.1229,                0.04963,                0.21581,                0.12028,                0.08404,                0.02765,                 2.7032,                 3.5323,                 2.1853,                 1.0976,              0.0098297,              0.0098297,              0.0098297
                     89,                 2.0211,                 2.9587,                 1.2651,                0.95773,                0.29681,                0.15497,                0.13184,                0.05485,                0.22851,                0.12336,                0.08686,                0.02956,                 2.6868,                 3.4767,                 2.1415,                 1.0939,              0.0098277,              0.0098277,              0.0098277
                     90,                 2.0751,                 3.0086,                 1.3503,                0.96026,                0.32525,                0.14726,                0.13623,                0.05601,                0.24464,                0.11565,                 0.0898,                0.02773,                 2.6927,                 3.4575,                 2.1265,                 1.0897,              0.0098258,              0.0098258,              0.0098258
                     91,                  2.099,                 2.9518,                 1.3368,                0.94989,                0.33132,                0.15189,                0.13782,                0.05963,                0.23041,                0.10563,                0.08508,                0.02565,                 2.6585,                 3.4702,                 2.1448,                  1.088,              0.0098238,              0.0098238,              0.0098238
                     92,                 2.0434,                 2.8586,                  1.294,                0.95902,                0.32344,                0.15343,                0.14131,                0.06033,                0.27039,                0.12413,                0.09799,                0.02891,                 2.6432,                 3.4966,                 2.0998,                 1.0999,              0.0098218,              0.0098218,              0.0098218
                     93,                 2.0357,                 2.8215,                  1.272,                0.95791,                0.30942,                0.15574,                0.13919,                0.05905,                0.23742,                0.11951,                0.09509,                0.02855,                 2.6672,                 3.5086,                 2.1168,                 1.0925,              0.0098198,              0.0098198,              0.0098198
                     94,                 2.0469,                 2.9212,                 1.2826,                0.95483,                 0.2788,                0.14336,                0.12937,                0.05234,                 0.1935,                0.10563,                0.07904,                0.02251,                 2.8143,                 3.5822,                 2.1817,                 1.1166,              0.0098178,              0.0098178,              0.0098178
                     95,                 2.0346,                  2.906,                 1.2832,                0.95868,                0.28846,                0.14109,                0.13077,                0.05392,                0.20834,                0.08558,                0.06614,                0.02053,                 2.7631,                 3.5259,                 2.1584,                 1.0981,              0.0098159,              0.0098159,              0.0098159
                     96,                 2.0521,                 2.9439,                 1.2814,                 0.9601,                0.27801,                0.14458,                0.12694,                0.05175,                0.19493,                0.10948,                0.08572,                0.02507,                 2.7475,                 3.5979,                 2.1657,                 1.0975,              0.0098139,              0.0098139,              0.0098139
                     97,                 1.9956,                 2.8075,                 1.2587,                0.95737,                0.34249,                0.14418,                0.14379,                0.05759,                0.23615,                0.11179,                0.08868,                 0.0251,                 2.7142,                 3.5487,                 2.0739,                 1.0902,              0.0098119,              0.0098119,              0.0098119
                     98,                 2.0247,                 2.8384,                 1.2783,                0.95621,                0.28111,                0.15266,                0.13833,                0.05295,                 0.2407,                0.10632,                 0.0857,                0.02364,                 2.7648,                 3.5683,                 2.1031,                 1.0992,              0.0098099,              0.0098099,              0.0098099
                     99,                  1.972,                 2.8586,                 1.2394,                0.95612,                0.29874,                0.16423,                0.13932,                0.05385,                0.19387,                0.11025,                0.07797,                0.02352,                 2.7222,                  3.552,                 2.1596,                 1.0986,              0.0098079,              0.0098079,              0.0098079
